session.code,participant.code,session_type,session_discount,d_n_dutch_irrational_bid,d_round_dutch_irrational_bid,d_n_dutch_predicted_win,d_diff_dutch_predicted_win,d_round_dutch_predicted_win,d_n_dutch_predicted_lose,d_round_dutch_predicted_lose,d_n_dutch_lucky_win,d_diff_dutch_lucky_win,d_round_dutch_lucky_win,d_n_dutch_greedy_lose,d_diff_dutch_greedy_lose,d_round_dutch_greedy_lose,h_n_dutch_irrational_bid,h_round_dutch_irrational_bid,h_n_dutch_predicted_win,h_diff_dutch_predicted_win,h_round_dutch_predicted_win,h_n_dutch_predicted_lose,h_round_dutch_predicted_lose,h_n_dutch_lucky_win,h_diff_dutch_lucky_win,h_round_dutch_lucky_win,h_n_dutch_greedy_lose,h_diff_dutch_greedy_lose,h_round_dutch_greedy_lose,h_n_contest_correct_bid,h_round_contest_correct_bid,h_n_contest_correct_leave,h_round_contest_correct_leave,h_n_contest_irrational,h_round_contest_irrational,h_n_contest_regret,h_diff_contest_regret,h_round_contest_regret,h_n_english_irrational,h_diff_english_irrational,h_round_english_irrational,h_n_english_correct,h_diff_english_correct,h_round_english_correct
ogo32l47,ycapi7qs,05_D2H1,0.019,0,[],5,"[-2.928897980000002, -0.5953266100000008, -0.7564647300000011, 0.07433212000000111, 2.071102019999998]","[3, 6, 8, 11, 18]",12,"[4, 5, 7, 9, 10, 12, 13, 15, 16, 17, 19, 20]",1,[1.0711020199999979],[14],0,[],[],0,[],0,[],[],16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]",1,[-6.367117180000001],[20],1,[1.0],[16],7,"[6, 10, 14, 15, 16, 19, 20]",11,"[3, 4, 5, 7, 8, 9, 11, 12, 13, 17, 18]",0,[],0,[],[],2,"[-1, -2]","[14, 19]",5,"[1, 1, 2, 1, 0]","[6, 10, 15, 16, 20]"
ogo32l47,631hrbiu,05_D2H1,0.019,0,[],7,"[-3.4276417399999985, -1.7564647300000011, -3.9270889800000006, -4.92811828, -1.4176082099999991, -5.928897980000002, 1.2397820599999996]","[3, 9, 10, 12, 15, 19, 20]",8,"[4, 6, 8, 13, 14, 16, 17, 18]",3,"[-6.595326610000001, -3.4276417399999985, -2.4247332099999994]","[5, 7, 11]",0,[],[],0,[],5,"[2.916103790000001, 0.7639108899999982, 1.2341897999999993, 3.916103790000001, 0.44237164000000107]","[4, 13, 18, 19, 20]",7,"[5, 7, 9, 10, 11, 15, 16]",4,"[-5.556799009999999, 1.916103790000001, -5.17133505, -4.556799009999999]","[3, 8, 12, 14]",2,"[5.916103790000001, 2.0]","[6, 17]",13,"[3, 4, 6, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20]",5,"[5, 9, 10, 15, 16]",0,[],0,[],[],4,"[-2, -1, -1, -1]","[3, 11, 12, 14]",9,"[14, 13, 0, 0, 7, 0, 12, 8, 12]","[4, 6, 7, 8, 13, 17, 18, 19, 20]"
ogo32l47,oxnhhokq,05_D2H1,0.019,0,[],5,"[-1.4247332099999994, -1.7621147199999996, -5.094929499999999, -2.928897980000002, -2.2617343599999984]","[4, 8, 17, 19, 20]",13,"[3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18]",0,[],[],0,[],[],0,[],3,"[1.1790883900000004, -5.635803920000001, 2.0]","[7, 9, 17]",11,"[3, 4, 5, 10, 11, 13, 14, 16, 18, 19, 20]",4,"[-6.17133505, -7.464135550000002, -7.827668580000001, -7.738834700000002]","[6, 8, 12, 15]",0,[],[],8,"[6, 7, 8, 9, 12, 15, 17, 19]",9,"[3, 5, 10, 11, 13, 14, 16, 18, 20]",0,[],1,[3],[4],3,"[-1, -2, -1]","[8, 12, 15]",5,"[1, 10, 1, 1, 0]","[6, 7, 9, 17, 19]"
ogo32l47,ptz6jcy9,05_D2H1,0.019,0,[],2,"[-0.9288979800000021, -2.092607860000001]","[10, 12]",15,"[3, 4, 5, 6, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 20]",0,[],[],1,[2.7375491499999995],[14],0,[],1,[5.364196079999999],[11],13,"[4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 18, 20]",1,[-3.0124555199999996],[3],3,"[3.916103790000001, 4.0, 0.632882819999999]","[14, 17, 19]",8,"[3, 7, 9, 11, 14, 15, 17, 19]",8,"[4, 6, 8, 10, 12, 16, 18, 20]",0,[],2,"[1, 1]","[5, 13]",0,[],[],8,"[1, 0, 0, 5, 14, 2, 15, 6]","[3, 7, 9, 11, 14, 15, 17, 19]"
ogo32l47,5qx58s2r,05_D2H1,0.019,0,[],2,"[-3.2617343599999984, -3.2608001500000015]","[4, 18]",15,"[3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20]",1,[-5.595326610000001],[12],0,[],[],0,[],0,[],[],15,"[3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20]",2,"[3.70597051, -2.383692589]","[6, 15]",1,[0.561739750000001],[8],5,"[6, 8, 10, 11, 18]",9,"[5, 7, 9, 12, 13, 14, 16, 19, 20]",3,"[3, 15, 17]",1,[2],[4],3,"[-9, -2, -25]","[3, 15, 17]",5,"[11, 4, 4, 2, 6]","[6, 8, 10, 11, 18]"
cbdt6t3s,p9h85kcr,02_D2H1,0.019,0,[],9,"[-2.160972900000001, 1.4921626100000012, 0.8357099800000007, -1.16698461, 0.16114217000000153, 1.1700699599999993, 1.8259163700000016, -1.1752911799999985, 0.8390270999999991]","[3, 4, 8, 10, 11, 12, 14, 16, 17]",8,"[5, 6, 7, 9, 15, 18, 19, 20]",0,[],[],1,[2.496789079999999],[13],0,[],10,"[2.7866615999999986, 3.20174179, -0.329790842, 13.72195589, -2.124469737, -0.8086635399999995, 0.7486936199999992, 2.4375282800000004, 1.1913364600000005, -2.159250086]","[3, 4, 8, 10, 12, 13, 14, 16, 17, 20]",4,"[6, 9, 15, 19]",2,"[-0.742043001, -1.6065140039999992]","[5, 18]",2,"[2.670933539, 1.229276187]","[7, 11]",17,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20]",1,[19],0,[],0,[],[],0,[],[],17,"[27, 17, 0, 5, 3, 4, 0, 27, 0, 4, 17, 12, 4, 22, 19, 4, 6]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20]"
cbdt6t3s,mxwxkzz6,02_D2H1,0.019,0,[],8,"[-0.1335391020000003, -10.172698919999998, -10.176353640000002, -0.8263567499999986, -1.8263567499999986, 1.5014185100000006, 6.16283039, 3.8357099800000007]","[5, 11, 13, 16, 17, 18, 19, 20]",5,"[4, 8, 9, 10, 12]",4,"[-3.1440037400000005, -4.503210920000001, -1.7956639600000006, -3.8263567499999986]","[3, 6, 14, 15]",1,[6.882484451],[7],0,[],9,"[-1.5450256899999992, -1.5450256899999992, 1.0, -5.56247172, -6.69102399, -8.91369537, 0.7866615999999986, -7.8086635399999995, 1.0]","[4, 6, 10, 12, 13, 14, 15, 19, 20]",4,"[7, 8, 11, 16]",4,"[-9.46085863, 2.840749914, -11.077279106, 5.336843856]","[3, 5, 9, 17]",1,[0.118518177],[18],13,"[3, 4, 5, 6, 9, 10, 12, 13, 14, 15, 17, 19, 20]",3,"[7, 8, 11]",0,[],2,"[2, 2]","[16, 18]",0,[],[],13,"[4, 21, 1, 21, 4, 16, 14, 12, 8, 6, 1, 10, 30]","[3, 4, 5, 6, 9, 10, 12, 13, 14, 15, 17, 19, 20]"
cbdt6t3s,sgan0bdv,02_D2H1,0.019,0,[],6,"[-0.4570523409999998, -13.507837389999999, -10.84031028, 4.5083664, 11.161142170000002, 7.164816999999999]","[6, 7, 11, 14, 15, 16]",11,"[3, 4, 5, 8, 9, 10, 12, 13, 17, 18, 19]",0,[],[],1,[0.528582265],[20],0,[],5,"[7.457004089, 5.869748797, 13.00544632, 12.29794434, 1.670933539]","[10, 13, 14, 15, 16]",6,"[4, 6, 7, 17, 19, 20]",1,[2.510446408],[3],6,"[2.27743662, 11.72195589, 1.904275826, 3.510446408, 8.99593199, 0.7219558900000003]","[5, 8, 9, 11, 12, 18]",14,"[3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20]",4,"[6, 7, 17, 19]",0,[],0,[],[],1,[-1],[4],13,"[1, 10, 27, 1, 23, 10, 20, 20, 8, 3, 5, 14, 1]","[3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20]"
cbdt6t3s,cwnfbv11,02_D2H1,0.019,0,[],5,"[6.492162610000001, 11.16283039, 5.825916370000002, 5.22320302, 15.825916370000002]","[4, 9, 10, 12, 15]",10,"[3, 5, 7, 8, 11, 16, 17, 18, 19, 20]",1,[1.1648169999999993],[13],2,"[2.1584271299999997, 4.843210340000001]","[6, 14]",0,[],0,[],[],8,"[3, 10, 11, 12, 13, 14, 16, 18]",0,[],[],10,"[11.19133646, 18.0, 21.0, 12.19133646, 1.229276187, 9.0, 11.72195589, 1.875530263, 2.0, 16.14779549]","[4, 5, 6, 7, 8, 9, 15, 17, 19, 20]",14,"[4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 20]",4,"[3, 11, 13, 18]",0,[],0,[],[],3,"[-1, -1, -1]","[10, 14, 16]",11,"[10, 33, 40, 4, 0, 35, 1, 2, 0, 18, 27]","[4, 5, 6, 7, 8, 9, 12, 15, 17, 19, 20]"
cbdt6t3s,6akmy4kr,02_D2H1,0.019,1,[18],5,"[11.18417378, 12.16283039, 13.824708820000001, 5.164816999999999, 1.4921626100000012]","[5, 8, 13, 14, 19]",9,"[4, 6, 7, 9, 10, 12, 15, 16, 17]",0,[],[],3,"[8.830783570000001, 3.607768019, 0.1700699599999993]","[3, 11, 20]",0,[],0,[],[],5,"[4, 6, 12, 13, 15]",0,[],[],13,"[15.14779549, 1.27743662, 18.45497431, 6.336843856, 4.84083292, 0.08257734699999997, 0.443519236, 10.19133646, 10.53914137, 10.08630463, 8.393485996, 6.0, 0.03582065999999884]","[3, 5, 7, 8, 9, 10, 11, 14, 16, 17, 18, 19, 20]",15,"[3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20]",1,[4],1,[15],1,[4],[11],1,[-8],[15],15,"[25, 7, 3, 15, 12, 0, 1, 6, 6, 3, 13, 10, 23, 5, 12]","[3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20]"
cbdt6t3s,ece1g596,02_D2H1,0.019,4,"[3, 6, 9, 15]",7,"[-12.50499066, -8.50899342, -8.4916336, -15.175291179999999, -3.470819454000001, -7.4916336, -5.5065158499999995]","[4, 5, 10, 13, 16, 17, 19]",6,"[8, 11, 12, 14, 18, 20]",1,[-9.49858149],[7],0,[],[],7,"[5, 6, 9, 11, 13, 18, 20]",7,"[-9.077279106, -1.9136953699999992, -0.85220451, 6.0, 0.7219558900000003, -3.4608586300000006, 6.0]","[7, 8, 10, 12, 14, 15, 19]",3,"[3, 4, 17]",0,[],[],1,[2.0],[16],8,"[3, 7, 8, 10, 12, 14, 15, 19]",1,[4],7,"[5, 6, 9, 11, 13, 18, 20]",2,"[28, 13]","[16, 17]",7,"[-18, -21, -14, -10, -12, -24, -24]","[5, 6, 9, 11, 13, 18, 20]",8,"[8, 6, 15, 20, 26, 15, 10, 5]","[3, 7, 8, 10, 12, 14, 15, 19]"
cbdt6t3s,8vdn61jw,02_D2H1,0.019,0,[],10,"[-7.5065158499999995, -2.1692164299999988, 3.8289046300000003, -0.1567896599999994, 4.843210340000001, 0.15842712999999975, -7.5089934199999995, -2.842680620000003, 2.5133294399999997, 3.8357099800000007]","[4, 5, 6, 8, 9, 10, 17, 18, 19, 20]",7,"[7, 11, 12, 13, 14, 15, 16]",1,[-5.16698461],[3],0,[],[],0,[],9,"[-8.542995911, 1.2017417899999998, 2.0, -3.42441758, 1.2017417899999998, -6.251306380000001, 2.0, -3.42441758, 3.0]","[3, 5, 6, 11, 12, 13, 15, 17, 18]",4,"[4, 8, 10, 14]",3,"[-6.159250086, -6.8086635399999995, -7.913695369999999]","[9, 16, 19]",2,"[0.118518177, 0.443519236]","[7, 20]",14,"[3, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",3,"[4, 8, 10]",0,[],1,[2],[7],2,"[-21, -6]","[14, 20]",12,"[7, 25, 29, 3, 17, 23, 12, 27, 11, 17, 31, 0]","[3, 5, 6, 9, 11, 12, 13, 15, 16, 17, 18, 19]"
cbdt6t3s,569rkdmi,02_D2H1,0.019,0,[],5,"[-6.169216429999999, 3.1584271299999997, -0.17109536999999975, 13.161142170000002, 4.173643250000001]","[8, 9, 10, 12, 17]",10,"[3, 4, 5, 6, 13, 14, 15, 16, 18, 20]",1,[-7.498581489999999],[7],2,"[1.10234364, 1.10234364]","[11, 19]",0,[],4,"[-5.69102399, 3.0, 17.20174179, 13.0]","[4, 7, 19, 20]",6,"[3, 5, 9, 13, 14, 18]",3,"[-9.00406801, 10.57558242, 3.875530263]","[6, 8, 12]",5,"[3.3533463030000004, 5.353346303, 4.20174179, 6.336843856, 12.74869362]","[10, 11, 15, 16, 17]",11,"[4, 6, 7, 8, 11, 12, 15, 16, 18, 19, 20]",4,"[3, 5, 13, 14]",0,[],3,"[6, 15, 31]","[9, 10, 17]",1,[-2],[6],10,"[13, 32, 25, 10, 10, 24, 5, 5, 18, 37]","[4, 7, 8, 11, 12, 15, 16, 18, 19, 20]"
cbdt6t3s,un0gw1cl,02_D2H1,0.019,0,[],11,"[17.82890463, 11.161142170000002, 7.51332944, 11.49348415, 6.204336039999999, 7.51332944, 3.1671888300000006, 3.2232030199999997, 11.49678908, 6.5045060700000015, 0.1700699599999993]","[3, 4, 7, 8, 9, 11, 12, 13, 14, 16, 20]",3,"[6, 10, 15]",1,[-6.172698919999998],[18],3,"[3.909756068, 1.5133294399999997, 22.83078357]","[5, 17, 19]",0,[],6,"[2.20174179, 3.7219558900000003, 1.670933539, -3.994553679999999, -3.2780441099999997, 1.0]","[4, 8, 10, 16, 18, 19]",6,"[3, 5, 12, 13, 14, 20]",1,[2.4549743100000008],[15],5,"[7.869748797, 5.353346303, 8.393485996, 0.443519236, 0.257956999]","[6, 7, 9, 11, 17]",12,"[4, 6, 7, 8, 9, 10, 11, 14, 15, 16, 18, 19]",5,"[3, 5, 12, 13, 20]",0,[],1,[3],[17],0,[],[],12,"[26, 13, 17, 25, 15, 10, 4, 0, 21, 16, 18, 29]","[4, 6, 7, 8, 9, 10, 11, 14, 15, 16, 18, 19]"
cbdt6t3s,hru4gpvu,02_D2H1,0.019,0,[],6,"[-7.17109537, -1.8263567499999986, -3.1752911799999985, 0.8432103400000006, 0.1700699599999993, -2.1710953699999997]","[5, 6, 12, 15, 18, 20]",10,"[3, 4, 8, 9, 10, 11, 13, 16, 17, 19]",0,[],[],2,"[2.964254303, 0.8486474800000003]","[7, 14]",0,[],4,"[-6.542995911, 19.0, 13.786661599999999, 10.87198217]","[3, 9, 14, 17]",8,"[6, 8, 10, 12, 13, 16, 18, 20]",1,[3.875530263],[4],5,"[0.43752828000000044, 8.393485996, 0.257956999, 2.0, 16.03582066]","[5, 7, 11, 15, 19]",13,"[3, 4, 5, 6, 7, 9, 11, 12, 14, 15, 17, 19, 20]",4,"[8, 13, 16, 18]",0,[],1,[3],[10],2,"[-4, -1]","[4, 20]",11,"[9, 15, 3, 15, 27, 0, 0, 16, 29, 17, 16]","[3, 5, 6, 7, 9, 11, 12, 14, 15, 17, 19]"
nli0vb0t,78zvyywq,02_D1H2,0.019,0,[],10,"[-8.835183, 5.82890463, 13.49100658, -1.1335391020000003, 16.157319379999997, 4.4934841500000005, 3.8273010800000016, -6.826356749999999, 3.8273010800000016, 5.492162610000001]","[7, 10, 11, 12, 13, 14, 16, 18, 19, 20]",8,"[3, 4, 5, 6, 8, 9, 15, 17]",0,[],[],0,[],[],0,[],7,"[9.45497431, 3.3533463030000004, 14.875650960000002, 0.8407499139999999, 14.00544632, 17.45497431, 7.922720893999999]","[3, 6, 7, 10, 14, 18, 19]",4,"[4, 5, 12, 16]",0,[],[],7,"[1.3368438559999998, 12.035820659999999, 10.08630463, 0.933487311, 0.443519236, 2.0, 0.22927618699999996]","[8, 9, 11, 13, 15, 17, 20]",15,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20]",3,"[5, 12, 16]",0,[],0,[],[],0,[],[],15,"[32, 9, 8, 37, 4, 9, 8, 17, 3, 8, 1, 3, 33, 11, 2]","[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20]"
nli0vb0t,xfp6redl,02_D1H2,0.019,0,[],7,"[-5.17109537, 3.8559962599999995, 5.843210340000001, 13.161142170000002, -1.1740836299999984, -2.160972900000001, 13.15842713]","[8, 12, 15, 16, 17, 19, 20]",9,"[3, 5, 6, 7, 9, 10, 13, 14, 18]",1,[-5.1440037400000005],[11],1,[3.8357099800000007],[4],0,[],5,"[-0.6065140039999992, 10.0, 15.0, 14.0, 9.786661599999999]","[4, 5, 6, 9, 18]",5,"[3, 10, 11, 14, 19]",4,"[1.875530263, 1.2979443400000008, -5.124469737, -0.4460559129999999]","[7, 15, 16, 20]",4,"[8.74869362, 12.14779549, 0.030616436, 13.00544632]","[8, 12, 13, 17]",17,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20]",1,[19],0,[],0,[],[],1,[-2],[13],16,"[3, 14, 37, 39, 9, 12, 13, 2, 0, 7, 0, 0, 1, 0, 8, 0]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20]"
nli0vb0t,l8zmfxbp,02_D1H2,0.019,0,[],6,"[7.83301539, 8.17006996, 1.909756068, 2.8664608979999997, 2.492162610000001, 6.4910065800000005]","[3, 4, 8, 9, 12, 15]",8,"[6, 7, 11, 13, 16, 17, 18, 19]",1,[5.496789079999999],[14],3,"[0.8307835700000012, 0.20433603999999939, 7.18417378]","[5, 10, 20]",0,[],2,"[14.00544632, 18.0]","[11, 17]",7,"[4, 5, 7, 9, 10, 18, 20]",0,[],[],9,"[13.72195589, 1.2017417899999998, 0.118518177, 0.933487311, 16.29794434, 9.53914137, 20.7866616, 20.0, 2.95285355]","[3, 6, 8, 12, 13, 14, 15, 16, 19]",15,"[3, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",1,[5],0,[],2,"[4, 3]","[4, 7]",0,[],[],15,"[28, 2, 2, 1, 12, 9, 1, 35, 0, 42, 17, 25, 0, 1, 0]","[3, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
