session.code,participant.code,participant.label,Q1.1,Q1.1_score,Q1.2,Q1.2_score,Q1.3,Q1.3_score,Q1.4,Q1.4_score,Q1.5,Q1.5_score,Q3.1_sure_offer,Q3.1_choice,Q3.2_sure_offer,Q3.2_choice,Q3.3_sure_offer,Q3.3_choice,Q3.4_sure_offer,Q3.4_choice,Q3.5_sure_offer,Q3.5_choice,Q4.1_today_offer,Q4.1_choice,Q4.2_today_offer,Q4.2_choice,Q4.3_today_offer,Q4.3_choice,Q4.4_today_offer,Q4.4_choice,Q4.5_today_offer,Q4.5_choice
15t0rnnr,zdnh7x5w,p01,No Answer,0,C,1,D,0,C,0,B,1,160,50/50 Chance,240,Sure Payment,200,Sure Payment,180,Sure Payment,170,Sure Payment,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,In 12 Months
w4lqxa01,99eo3cv9,p01,D,1,C,1,E,1,A,0,B,1,160,50/50 Chance,240,50/50 Chance,280,Sure Payment,260,50/50 Chance,270,50/50 Chance,154,Today,185,Today,202,Today,210,Today,215,Today
w4lqxa01,5ijp1psm,p09,D,1,C,1,E,1,B,1,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,50/50 Chance,154,In 12 Months,125,In 12 Months,112,Today,119,Today,122,In 12 Months
w4lqxa01,8vp5cg8d,p02,D,1,C,1,E,1,D,0,B,1,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,Sure Payment,130,Sure Payment,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,In 12 Months
w4lqxa01,8wo14i1u,p05,D,1,C,1,E,1,B,1,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,50/50 Chance,70,Sure Payment,154,Today,185,Today,202,Today,210,Today,215,Today
w4lqxa01,9zlshhag,p11,B,0,B,0,E,1,A,0,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,Sure Payment,154,Today,185,In 12 Months,169,In 12 Months,161,In 12 Months,158,In 12 Months
w4lqxa01,71cpbfni,p13,D,1,No Answer,0,E,1,B,1,B,1,160,50/50 Chance,240,Sure Payment,200,Sure Payment,180,Sure Payment,170,Sure Payment,154,In 12 Months,125,In 12 Months,112,In 12 Months,106,In 12 Months,103,In 12 Months
w4lqxa01,9x5w27px,p10,A,0,E,0,E,1,B,1,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,Sure Payment,154,Today,185,Today,202,In 12 Months,193,Today,197,In 12 Months
w4lqxa01,hnai8u6g,p07,D,1,C,1,E,1,B,1,B,1,160,50/50 Chance,240,Sure Payment,200,Sure Payment,180,50/50 Chance,190,50/50 Chance,154,Today,185,Today,202,Today,210,Today,215,Today
w4lqxa01,iw9n3s9j,p06,B,0,C,1,E,1,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,50/50 Chance,150,Sure Payment,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,In 12 Months
w4lqxa01,y93878sx,p03,D,1,C,1,E,1,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,50/50 Chance,154,In 12 Months,125,In 12 Months,112,Today,119,Today,122,Today
5m969a1u,1bqee54e,p04,D,1,C,1,E,1,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,Sure Payment,154,Today,185,Today,202,Today,210,Today,215,Today
5m969a1u,5sdohpjb,p03,D,1,C,1,C,0,A,0,No Answer,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,50/50 Chance,154,Today,185,Today,202,Today,210,In 12 Months,206,In 12 Months
5m969a1u,nslbuzjj,p07,D,1,C,1,No Answer,0,A,0,D,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,Sure Payment,90,50/50 Chance,154,Today,185,Today,202,Today,210,Today,215,Today
5m969a1u,365e4ldq,p11,D,1,B,0,E,1,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,Sure Payment,90,50/50 Chance,154,Today,185,Today,202,Today,210,Today,215,Today
5m969a1u,k0p1qgcr,p09,D,1,C,1,D,0,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,Sure Payment,130,50/50 Chance,154,Today,185,Today,202,In 12 Months,193,Today,197,In 12 Months
5m969a1u,oxm5vtpc,p08,D,1,C,1,E,1,D,0,B,1,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,Sure Payment,130,50/50 Chance,154,In 12 Months,125,In 12 Months,112,Today,119,Today,122,In 12 Months
5m969a1u,skq2nv16,p12,D,1,C,1,E,1,B,1,B,1,160,50/50 Chance,240,Sure Payment,200,Sure Payment,180,Sure Payment,170,Sure Payment,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,In 12 Months
5m969a1u,efi1qtrz,p01,D,1,E,0,D,0,A,0,B,1,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,Sure Payment,130,50/50 Chance,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,Today
hie4719f,oxzph04r,p10,D,1,C,1,E,1,B,1,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,Sure Payment,154,Today,185,Today,202,Today,210,Today,215,Today
hie4719f,53mxc9ro,p01,D,1,C,1,E,1,B,1,E,0,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,50/50 Chance,154,In 12 Months,125,Today,139,In 12 Months,132,In 12 Months,129,In 12 Months
hie4719f,3yrhqskd,p12,A,0,C,1,C,0,B,1,C,0,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,Sure Payment,130,50/50 Chance,154,Today,185,Today,202,Today,210,In 12 Months,206,In 12 Months
hie4719f,k64wrhu2,p03,D,1,C,1,E,1,D,0,B,1,160,50/50 Chance,240,Sure Payment,200,Sure Payment,180,Sure Payment,170,Sure Payment,154,Today,185,In 12 Months,169,In 12 Months,161,In 12 Months,158,In 12 Months
hie4719f,15prj7to,p06,D,1,C,1,E,1,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,50/50 Chance,154,Today,185,Today,202,Today,210,Today,215,Today
hie4719f,dzx35q8q,p11,D,1,C,1,E,1,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,Sure Payment,90,50/50 Chance,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,Today
hie4719f,cumhsm9n,p05,No Answer,0,C,1,E,1,B,1,C,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,Sure Payment,154,In 12 Months,125,In 12 Months,112,In 12 Months,106,Today,109,Today
hie4719f,tzmrjesq,p09,E,0,C,1,E,1,D,0,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,50/50 Chance,70,Sure Payment,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,Today
hie4719f,huqhsck9,p04,A,0,C,1,E,1,No Answer,0,E,0,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,50/50 Chance,154,Today,185,Today,202,Today,210,Today,215,Today
hie4719f,x6yere8h,p08,A,0,C,1,E,1,A,0,B,1,160,Sure Payment,80,Sure Payment,40,Sure Payment,20,50/50 Chance,30,Sure Payment,154,Today,185,In 12 Months,169,In 12 Months,161,In 12 Months,158,In 12 Months
btnhfeao,vmyntsgr,p08,E,0,C,1,B,0,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,Sure Payment,130,50/50 Chance,154,Today,185,Today,202,In 12 Months,193,Today,197,In 12 Months
btnhfeao,3nzslq4p,p02,D,1,E,0,E,1,A,0,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,50/50 Chance,154,In 12 Months,125,In 12 Months,112,In 12 Months,106,Today,109,Today
btnhfeao,h9fyesiy,p04,D,1,C,1,E,1,D,0,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,50/50 Chance,154,In 12 Months,125,In 12 Months,112,In 12 Months,106,In 12 Months,103,In 12 Months
btnhfeao,9zhvt5x0,p05,D,1,C,1,E,1,B,1,D,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,Sure Payment,90,50/50 Chance,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,In 12 Months
btnhfeao,twmqn1o6,p01,D,1,E,0,C,0,No Answer,0,F,0,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,50/50 Chance,70,Sure Payment,154,Today,185,Today,202,Today,210,Today,215,Today
btnhfeao,33m18t0c,p03,D,1,C,1,E,1,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,50/50 Chance,154,In 12 Months,125,In 12 Months,112,Today,119,Today,122,Today
btnhfeao,x2pym7dx,p09,D,1,C,1,E,1,A,0,F,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,50/50 Chance,154,Today,185,Today,202,In 12 Months,193,Today,197,Today
btnhfeao,kv2ymuk3,p06,D,1,E,0,E,1,B,1,F,0,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,Sure Payment,154,Today,185,In 12 Months,169,In 12 Months,161,In 12 Months,158,Today
btnhfeao,fjxddq96,p10,D,1,C,1,No Answer,0,No Answer,0,No Answer,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,Sure Payment,154,In 12 Months,125,In 12 Months,112,Today,119,In 12 Months,116,Today
btnhfeao,k9mr5w86,p07,D,1,C,1,E,1,B,1,B,1,160,50/50 Chance,240,Sure Payment,200,Sure Payment,180,50/50 Chance,190,50/50 Chance,154,In 12 Months,125,Today,139,In 12 Months,132,In 12 Months,129,In 12 Months
7xbozwc7,8pksllrk,p09,D,1,A,0,C,0,F,0,B,1,160,50/50 Chance,240,Sure Payment,200,50/50 Chance,220,50/50 Chance,230,50/50 Chance,154,In 12 Months,125,In 12 Months,112,In 12 Months,106,Today,109,Today
7xbozwc7,b3w77ail,p05,D,1,F,0,C,0,A,0,B,1,160,50/50 Chance,240,50/50 Chance,280,50/50 Chance,300,Sure Payment,290,Sure Payment,154,In 12 Months,125,In 12 Months,112,In 12 Months,106,In 12 Months,103,Today
7xbozwc7,p2sprhna,p01,D,1,E,0,C,0,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,Sure Payment,90,Sure Payment,154,In 12 Months,125,Today,139,In 12 Months,132,Today,136,Today
7xbozwc7,acicxmao,p03,D,1,C,1,E,1,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,Sure Payment,90,50/50 Chance,154,In 12 Months,125,In 12 Months,112,In 12 Months,106,In 12 Months,103,In 12 Months
7xbozwc7,v4q9dxro,p02,D,1,C,1,No Answer,0,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,50/50 Chance,150,Sure Payment,154,Today,185,Today,202,Today,210,Today,215,Today
7xbozwc7,hsr2jnim,p06,D,1,No Answer,0,E,1,B,1,E,0,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,Sure Payment,130,50/50 Chance,154,In 12 Months,125,In 12 Months,112,Today,119,In 12 Months,116,In 12 Months
7xbozwc7,8fqiz9o2,p07,F,0,C,1,D,0,A,0,D,0,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,Sure Payment,154,Today,185,Today,202,Today,210,Today,215,Today
7xbozwc7,2m6lnia0,p04,D,1,C,1,E,1,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,50/50 Chance,150,Sure Payment,154,Today,185,In 12 Months,169,Today,177,In 12 Months,173,In 12 Months
7xbozwc7,rye27vup,p10,D,1,C,1,E,1,B,1,F,0,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,50/50 Chance,70,Sure Payment,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,In 12 Months
7xbozwc7,y3g9x4fc,p08,D,1,E,0,No Answer,0,B,1,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,50/50 Chance,70,Sure Payment,154,Today,185,Today,202,Today,210,Today,215,Today
r6ovli5x,04pv90wo,p05,E,0,A,0,B,0,A,0,B,1,160,50/50 Chance,240,Sure Payment,200,Sure Payment,180,50/50 Chance,190,Sure Payment,154,Today,185,Today,202,Today,210,Today,215,Today
r6ovli5x,0emhqklq,p12,E,0,A,0,E,1,B,1,D,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,Sure Payment,154,Today,185,In 12 Months,169,In 12 Months,161,Today,165,In 12 Months
r6ovli5x,8amlvfnf,p01,B,0,C,1,E,1,A,0,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,Sure Payment,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,In 12 Months
r6ovli5x,v1rr4jv4,p11,A,0,E,0,B,0,A,0,B,1,160,50/50 Chance,240,Sure Payment,200,Sure Payment,180,50/50 Chance,190,50/50 Chance,154,Today,185,Today,202,In 12 Months,193,In 12 Months,189,Today
r6ovli5x,mr0tyjxp,p07,A,0,E,0,D,0,A,0,B,1,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,Sure Payment,130,Sure Payment,154,In 12 Months,125,Today,139,Today,146,In 12 Months,143,Today
r6ovli5x,0czu3fwm,p09,D,1,No Answer,0,C,0,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,Sure Payment,90,50/50 Chance,154,Today,185,Today,202,In 12 Months,193,Today,197,In 12 Months
r6ovli5x,7no619yf,p02,D,1,C,1,E,1,A,0,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,50/50 Chance,70,Sure Payment,154,Today,185,Today,202,Today,210,Today,215,Today
r6ovli5x,xuy1u0is,p06,D,1,D,0,E,1,B,1,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,Sure Payment,154,In 12 Months,125,In 12 Months,112,In 12 Months,106,Today,109,Today
r6ovli5x,uvc05y1o,p14,A,0,C,1,E,1,B,1,B,1,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,50/50 Chance,70,Sure Payment,154,Today,185,Today,202,Today,210,Today,215,Today
r6ovli5x,jeedwatt,p03,D,1,E,0,D,0,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,50/50 Chance,154,Today,185,Today,202,Today,210,Today,215,In 12 Months
r6ovli5x,4cbiy0ib,p15,D,1,C,1,E,1,B,1,F,0,160,Sure Payment,80,Sure Payment,40,50/50 Chance,60,Sure Payment,50,50/50 Chance,154,Today,185,In 12 Months,169,In 12 Months,161,In 12 Months,158,Today
r6ovli5x,njnju6u0,p04,D,1,A,0,B,0,F,0,B,1,160,50/50 Chance,240,Sure Payment,200,50/50 Chance,220,50/50 Chance,230,50/50 Chance,154,Today,185,Today,202,Today,210,Today,215,Today
r6ovli5x,kwatvg4y,p10,D,1,F,0,B,0,B,1,D,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,Sure Payment,90,50/50 Chance,154,Today,185,Today,202,In 12 Months,193,Today,197,Today
r6ovli5x,dhxq3ljo,p13,D,1,No Answer,0,E,1,B,1,A,0,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,50/50 Chance,150,Sure Payment,154,Today,185,In 12 Months,169,Today,177,Today,181,In 12 Months
r6ovli5x,j7t612vu,p08,A,0,C,1,C,0,B,1,B,1,160,Sure Payment,80,50/50 Chance,120,50/50 Chance,140,50/50 Chance,150,50/50 Chance,154,Today,185,Today,202,In 12 Months,193,Today,197,In 12 Months
p66lw61j,3m6qecgs,p02,D,1,B,0,D,0,D,0,E,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,50/50 Chance,154,Today,185,In 12 Months,169,In 12 Months,161,In 12 Months,158,In 12 Months
p66lw61j,0suguw8d,p08,D,1,D,0,D,0,B,1,A,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,Sure Payment,90,50/50 Chance,154,Today,185,In 12 Months,169,In 12 Months,161,In 12 Months,158,In 12 Months
p66lw61j,7y3cxxg5,p05,D,1,C,1,E,1,F,0,D,0,160,Sure Payment,80,50/50 Chance,120,Sure Payment,100,50/50 Chance,110,50/50 Chance,154,Today,185,Today,202,Today,210,Today,215,Today
p66lw61j,gmp380ww,p09,E,0,C,1,E,1,B,1,D,0,160,50/50 Chance,240,Sure Payment,200,50/50 Chance,220,50/50 Chance,230,50/50 Chance,154,Today,185,Today,202,Today,210,Today,215,Today
